app_id,release_date,release_price,initial_list_price,discount_percent,currency,release_price_steamspy,avg_playtime,owners_min,owners_max,owners_median,review_count,positive_count,ts_min,ts_max,positive_ratio
541300,2017-12-21,19.99,19.99,0.0,USD,19.99,1867,100000.0,200000.0,150000.0,208.0,102.0,1513891750.0,1521415099.0,49.03846153846153
1510,2006-08-23,11.99,11.99,0.0,USD,11.99,203,500000.0,1000000.0,750000.0,,,,,
34830,2010-06-24,7.99,7.99,0.0,USD,7.99,378,1000000.0,2000000.0,1500000.0,,,,,
586030,2017-04-06,,,,,0.0,111,200000.0,500000.0,350000.0,,,,,
8310,2008-06-17,,,,,0.0,52,20000.0,50000.0,35000.0,,,,,
2640,2006-10-13,14.99,19.99,25.0,USD,14.99,302,200000.0,500000.0,350000.0,,,,,
39500,2009-12-02,19.99,19.99,0.0,USD,19.99,1263,1000000.0,2000000.0,1500000.0,,,,,
32670,2009-06-18,,,,,0.0,216,100000.0,200000.0,150000.0,,,,,
21670,2009-07-28,3.19,9.99,68.0,USD,3.19,137,200000.0,500000.0,350000.0,,,,,
35460,2010-10-26,9.99,9.99,0.0,USD,9.99,127,200000.0,500000.0,350000.0,21.0,21.0,1290746145.0,1295736534.0,100.0
39000,2010-07-06,,,,,0.0,111,1000000.0,2000000.0,1500000.0,,,,,
550840,2021-07-22,9.99,9.99,0.0,USD,9.99,397,50000.0,100000.0,75000.0,,,,,
546340,2016-11-11,0.49,4.99,90.0,USD,0.49,219,0.0,20000.0,10000.0,1.0,1.0,1478981180.0,1478981180.0,100.0
4890,2011-08-26,1.24,4.99,75.0,USD,1.24,336,100000.0,200000.0,150000.0,,,,,
23700,2009-04-27,14.99,14.99,0.0,USD,14.99,195,50000.0,100000.0,75000.0,,,,,
585840,2017-02-08,3.99,3.99,0.0,USD,3.99,47,50000.0,100000.0,75000.0,66.0,57.0,1486575833.0,1494192821.0,86.36363636363636
549860,2016-11-07,2.99,2.99,0.0,USD,2.99,160,50000.0,100000.0,75000.0,79.0,68.0,1478622530.0,1485675557.0,86.07594936708861
543180,2017-03-25,4.99,4.99,0.0,USD,4.99,1675,20000.0,50000.0,35000.0,26.0,19.0,1490475011.0,1492987248.0,73.07692307692307
20820,2010-03-15,1.99,1.99,0.0,USD,1.99,144,200000.0,500000.0,350000.0,,,,,
